Aplikasi sangat bagus sekali	General Aspect
aplikasi tidak bisa login	Functionality and Perfomance
mendaftar gak bisa	Functionality and Perfomance
chek pembayaran bpkb tidak bisa	Functionality and Perfomance
apk kece	General Aspect
fungsi pencarian TIDAK BERFUNGSI	Functionality and Perfomance
Aplikasi gak jelas banget	General Aspect
Respon lama	Out of Aspect
app sangat suka	General Aspect
aplikasi kacau	General Aspect
ngescan gabisa	Functionality and Perfomance
Aplikasi gak bisa dibuka	Functionality and Perfomance
Loading d hitung2 10jam bisa	Functionality and Perfomance
login gbsa	Functionality and Perfomance
viturnya lebih di perbaiki lagi	Functionality and Perfomance
Aplikasi membantu sekali	User Experince
aplikasi praktis	User Experince
terdaftar malah ga bisa	Functionality and Perfomance
aplikasi sulit di akses	Functionality and Perfomance
edukasi kurang	User Experince
server Tidak dapat terkoneksi	Functionality and Perfomance
aplikasiny eror	Functionality and Perfomance
Aplikasi ga bisa kirim laporan	Functionality and Perfomance
eroorrr Sering	Functionality and Perfomance
update kagak bisa bayar	Support and Updates
developernya gmn si	Support and Updates
Aplikasi sontoloyo	General Aspect
Aplikasi inovatif	General Aspect
aplikasi tidak ada manpaatnya	General Aspect
Daftar gagal terus	Functionality and Perfomance
aplikasi Agak kesel	General Aspect
pengaduan selalu di respon	Out of Aspect
koneksi tidak ada	Functionality and Perfomance
aplikasi tdk bisa dibuka	Functionality and Perfomance
pilih tema kagak bisa	Functionality and Perfomance
sistem Perbaiki	Functionality and Perfomance
cek produk Keren	Functionality and Perfomance
user friendly ga	User Experince
pelayanan cepat	User Experince
verifikasi Ga bs	Functionality and Perfomance
update tidak berfungsi	Support and Updates
profil terkendala	Functionality and Perfomance
Aplikasi sangat buruk	General Aspect
aplikasi error bug	Functionality and Perfomance
apps DANCOK	Functionality and Perfomance
Apkikasi jelek	General Aspect
layanan lebih ditingkatkan	Out of Aspect
responnya sangat cepat	Support and Updates
server down	Functionality and Perfomance
bug Perbaiki	Functionality and Perfomance
apps merasa terbantu	User Experince
unduh sertifikat tidak ada	Functionality and Perfomance
ngecek gapernah bisa	Functionality and Perfomance
Apk gak bisa digunakan	Functionality and Perfomance
Aplikasi selalu maintenance	Support and Updates
Apk eror	Functionality and Perfomance
pake G bisa	Functionality and Perfomance
aplikasi Lemot bgt	Functionality and Perfomance
aplikasi payah	General Aspect
register tidak bisa	Functionality and Perfomance
Aplikasi sering bermasalah	Functionality and Perfomance
Aplikasinya tidak user friendly	User Experince
Aplikasi bodoh	General Aspect
ngedeteksi cepet	Functionality and Perfomance
Aplikasi g bs d pake	Functionality and Perfomance
login dipersulit	Functionality and Perfomance
Aplikasi tidak berguna	User Experince
Aplikasi GAJELAS	General Aspect
App banyak bak	Functionality and Perfomance
aplikasi Percuma	User Experince
pencarian produk berfungsi dengan baik	Functionality and Perfomance
masuk ke profil susah	User Experince
Aplikasi kurang sempurna	General Aspect
penyampaian keluhan praktis	User Experince
perbaharui versi terbaru tidak jelas	Support and Updates
Pelayanannya sangat memuaskan	User Experince
update gak bagus lagi	Support and Updates
login di persulit banget	User Experince
aplikasinya SDH bisa login	Functionality and Perfomance
Pelayanan baik	Out of Aspect
aplikasi Cocok dimusnakan	General Aspect
bukaa gak bisa	Functionality and Perfomance
loading terus	Functionality and Perfomance
Apk bagus	General Aspect
password tulisannya bisa di munculin	Security
aplikasi persulit	User Experince
mendownload sertifikat vaksin Tidak bisa	Functionality and Perfomance
update Failed	Support and Updates
loadingnya lamanya	Functionality and Perfomance
aplikasi Lemot servernya	Functionality and Perfomance
Aplikasi rusak	General Aspect
apk sampah	General Aspect
respon sangat cepat	User Experince
login susah bangeettt	User Experince
Ngeceknya tidak keluar2	Functionality and Perfomance
daftar susah setengah mati	User Experince
Aplikasina butut	General Aspect
amplikasi lemot	Functionality and Perfomance
aplikasi makin jelek	General Aspect
Verifikasi gagal terus	Functionality and Perfomance
pegawainya ramah	Out of Aspect
apk ga ada yg becus	General Aspect
aplikasinya gak bisa digunakan	Functionality and Perfomance
loading lama bgt	Functionality and Perfomance
Apk Jelek banget	General Aspect
aplikasi Rusak	Functionality and Perfomance
Aplikasi ngga jelas	General Aspect
daftar Ga bisa	Functionality and Perfomance
app banyak fungsi	User Experince
pinjam buku tidak bisa	Functionality and Perfomance
Aplikasi benerin	General Aspect
loading gak kelar2	Functionality and Perfomance
pinjam buku error	Functionality and Perfomance
nomor tidak terdaftar	Functionality and Perfomance
cek datanya gak muncul	Functionality and Perfomance
pelayanan lebih baik	Out of Aspect
scan muter	Functionality and Perfomance
aplikasi kaku	General Aspect
aplikasinya sampah bgt	Functionality and Perfomance
scan barcode tidak berfungsi	Functionality and Perfomance
Aplikasi mudah	User Experince
koneksi internet gak ada	Functionality and Perfomance
bayar pajak ribet	User Experince
APLIKASI BELUM SIAP	General Aspect
buka kaga bisa	Functionality and Perfomance
Update terus	Support and Updates
aplikasi Sangat membantu	User Experince
LOADING LAMA BANGET	Functionality and Perfomance
Pelayanan sangat cepat	Out of Aspect
Regrestasi lambat	Functionality and Perfomance
cek pajak kendaraan gak bisa	Functionality and Perfomance
aplikasi Ga jelas	Functionality and Perfomance
app ngeblank	Functionality and Perfomance
Cctv gak bisa terbuka	Functionality and Perfomance
update nggak bisa di buka samsek	Support and Updates
nyetor duit susahnya minta ampun	User Experince
Aplikasinya error	Functionality and Perfomance
daftar gbsa	Functionality and Perfomance
login lama sekali	Functionality and Perfomance
aplikasi sangat terbantu	User Experince
pendaftaran selalu gagal	Functionality and Perfomance
instalasi aplikasi lancar	Functionality and Perfomance
scan muter	Functionality and Perfomance
pengecekkan pajak Tidak bisa	Functionality and Perfomance
sipraja membantu	User Experince
hasil pencarian lama aja muncul	Functionality and Perfomance
buka aplikasinya susah banget	Functionality and Perfomance
scan muter muter	Functionality and Perfomance
aplikasi ga niat	General Aspect
menu vaksinnya gabiza di akses	Functionality and Perfomance
sipraja memudahkan	User Experince
loading mulu	Functionality and Perfomance
apk ga niat buat	Support and Updates
aplikasi Sangat bermanfaat sekali	User Experince
